Run kind: baseline
graph_rw_active: False  alpha_active: False
alpha_schedule: constant 0.0 (run_kind=baseline short-circuits alpha_for_step). Any rw_* CLI flags are ignored at training time.
shuffle_granularity: 64 (groups of 4 tokens)
Output dir: runs/handoff_overnight/seed42
Device: cuda:0
[data-source=continuous] memmap streams train=/home/admin/ych/nanogpt-learned-order/data/wikitext103/train.bin val=/home/admin/ych/nanogpt-learned-order/data/wikitext103/val.bin
[continuous] train stream tokens=118496151 eval windows=2000 (block=256)
[attn_trajectory] enabled — 16 fixed samples, heatmap every 5000 steps, output=runs/handoff_overnight/seed42/attention_trajectory
[Eval @ 0] alpha=0.0000
[Eval @ 0] train_obj=10.9011 | ori_l2r=10.9014 | model_order=10.9017 | unstructured=10.9011 | rw=10.9013
[attn_traj] fixed 16 attention samples, indices_hash=0xfd22fda5
[attn_traj] heatmaps saved @ step 0 (extraction 0.3s)
Saved checkpoint: runs/handoff_overnight/seed42/ckpt_step0.pt
step  1560-> 1561/10000 | loss=5.0974 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 588s
step  1570-> 1571/10000 | loss=5.0559 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 590s
step  1580-> 1581/10000 | loss=4.9803 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 593s
step  1590-> 1591/10000 | loss=5.0773 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 595s
[Eval @ 1600] alpha=0.0000
[Eval @ 1600] train_obj=5.0487 | ori_l2r=4.9423 | model_order=5.0460 | unstructured=5.0487 | rw=5.0674
step  1600-> 1601/10000 | loss=5.0937 | alpha=0.000 | lr=9.98e-04 | 2.78s/step | ETA 6.5h | total 623s
step  1610-> 1611/10000 | loss=5.0574 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 625s
step  1620-> 1621/10000 | loss=5.0231 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 628s
step  1630-> 1631/10000 | loss=4.9853 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 630s
step  1640-> 1641/10000 | loss=4.8529 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 633s
step  1650-> 1651/10000 | loss=4.9178 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 635s
step  1660-> 1661/10000 | loss=4.8985 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 637s
step  1670-> 1671/10000 | loss=4.9054 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 640s
step  1680-> 1681/10000 | loss=4.9898 | alpha=0.000 | lr=9.97e-04 | 0.24s/step | ETA 34m | total 642s
