setup	sample_idx	sample_id	readiness_strength	asymmetry	row_entropy	top1_mass	top4_mass	argmax_dist	p_nbr_le1	locality_score	local_greedy_dist	directionality	out_degree_std	in_degree_std
text	232	243163	22.458484	0.566627	0.963666	0.06115	0.176568	23.15625	0.015625	0.0	23.365079	0.5	0.062235	0.010394
text	233	224856	25.70308	0.624568	0.956643	0.075411	0.196828	21.75	0.0	0.0	22.68254	0.53125	0.030891	0.009949
text	234	337716	22.001109	0.570661	0.959891	0.066759	0.185981	23.78125	0.03125	0.0	22.52381	0.546875	0.048502	0.009053
text	235	321341	20.468745	0.553089	0.963179	0.062896	0.178342	20.578125	0.03125	0.05024	22.095238	0.578125	0.054151	0.012233
text	236	251079	20.902703	0.582753	0.962113	0.060923	0.17608	26.28125	0.0	0.0	23.904762	0.53125	0.0463	0.010112
text	237	338951	24.072854	0.629572	0.958997	0.064416	0.182445	21.953125	0.03125	0.0	23.333333	0.515625	0.05342	0.012304
text	238	405610	23.798288	0.597251	0.959855	0.063222	0.184588	22.75	0.015625	0.0	22.52381	0.53125	0.05324	0.00997
text	239	83590	18.857023	0.539268	0.962241	0.061968	0.178953	26.53125	0.03125	0.0	22.492063	0.609375	0.05028	0.010843
text	240	386739	19.683487	0.547499	0.962519	0.0608	0.179758	22.09375	0.03125	0.0	22.142857	0.5	0.053417	0.009555
text	241	292676	21.795991	0.575639	0.961992	0.061875	0.177073	22.765625	0.03125	0.0	22.253968	0.53125	0.05733	0.011539
text	242	291352	32.257023	0.682818	0.958139	0.067478	0.18931	22.75	0.03125	0.0	23.031746	0.5	0.059008	0.01263
text	243	123162	27.202288	0.663315	0.960067	0.063904	0.184138	24.40625	0.03125	0.0	23.174603	0.53125	0.0605	0.011586
