Run kind: baseline
graph_rw_active: False  alpha_active: False
alpha_schedule: constant 0.0 (run_kind=baseline short-circuits alpha_for_step). Any rw_* CLI flags are ignored at training time.
shuffle_granularity: 64 (groups of 4 tokens)
Output dir: runs/handoff_overnight/seed2
Device: cuda:0
[data-source=continuous] memmap streams train=/home/admin/ych/nanogpt-learned-order/data/wikitext103/train.bin val=/home/admin/ych/nanogpt-learned-order/data/wikitext103/val.bin
[continuous] train stream tokens=118496151 eval windows=2000 (block=256)
[attn_trajectory] enabled — 16 fixed samples, heatmap every 5000 steps, output=runs/handoff_overnight/seed2/attention_trajectory
[Eval @ 0] alpha=0.0000
[Eval @ 0] train_obj=10.9009 | ori_l2r=10.9008 | model_order=10.9008 | unstructured=10.9009 | rw=10.9008
[attn_traj] fixed 16 attention samples, indices_hash=0x7b01409d
[attn_traj] heatmaps saved @ step 0 (extraction 0.4s)
Saved checkpoint: runs/handoff_overnight/seed2/ckpt_step0.pt
step  1300-> 1301/10000 | loss=5.2478 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 502s
step  1310-> 1311/10000 | loss=5.1924 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 504s
step  1320-> 1321/10000 | loss=5.2595 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 507s
step  1330-> 1331/10000 | loss=5.1938 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 509s
step  1340-> 1341/10000 | loss=5.2768 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 512s
step  1350-> 1351/10000 | loss=5.1909 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 514s
step  1360-> 1361/10000 | loss=5.2050 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 517s
step  1370-> 1371/10000 | loss=5.2318 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 519s
step  1380-> 1381/10000 | loss=5.2528 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 522s
step  1390-> 1391/10000 | loss=5.1774 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 524s
[Eval @ 1400] alpha=0.0000
[Eval @ 1400] train_obj=5.1897 | ori_l2r=5.1320 | model_order=5.1883 | unstructured=5.1897 | rw=5.1941
step  1400-> 1401/10000 | loss=5.2018 | alpha=0.000 | lr=9.98e-04 | 2.81s/step | ETA 6.7h | total 552s
step  1410-> 1411/10000 | loss=5.1478 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 555s
step  1420-> 1421/10000 | loss=5.1722 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 557s
step  1430-> 1431/10000 | loss=5.1519 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 559s
step  1440-> 1441/10000 | loss=5.1646 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 562s
step  1450-> 1451/10000 | loss=5.2538 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 564s
step  1460-> 1461/10000 | loss=5.0881 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 567s
step  1470-> 1471/10000 | loss=5.1138 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 569s
step  1480-> 1481/10000 | loss=5.1976 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 572s
step  1490-> 1491/10000 | loss=5.1507 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 574s
step  1500-> 1501/10000 | loss=5.1620 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 577s
step  1510-> 1511/10000 | loss=5.1837 | alpha=0.000 | lr=9.98e-04 | 0.25s/step | ETA 35m | total 579s
step  1520-> 1521/10000 | loss=5.1220 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 581s
step  1530-> 1531/10000 | loss=5.1104 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 584s
step  1540-> 1541/10000 | loss=5.1171 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 586s
step  1550-> 1551/10000 | loss=5.1178 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 589s
step  1560-> 1561/10000 | loss=5.0756 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 34m | total 591s
